"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Arbeitslose - Anteil","insgesamt",2018,"25 Laim",3.1,1238.3,39549.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"Stadt München",3.3,35020.3,1074843.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"01 Altstadt - Lehel",1.9,302.5,15634,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"02 Ludwigsvorstadt - Isarvorstadt",2.9,1230.5,41866,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"03 Maxvorstadt",2.2,924.3,41740.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"04 Schwabing - West",2.4,1176.3,49794.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"05 Au - Haidhausen",2.7,1229.5,45495.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"06 Sendling",3.8,1154.3,30569.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"07 Sendling - Westpark",3.6,1483.5,41191,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"08 Schwanthalerhöhe",3.4,776,22698.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"09 Neuhausen - Nymphenburg",2.7,1919.8,70616.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"10 Moosach",4,1483,37036,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"11 Milbertshofen - Am Hart",4.2,2289,54593.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"12 Schwabing - Freimann",2.8,1574.3,55798.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"13 Bogenhausen",2.5,1431.3,57431.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"14 Berg am Laim",4.3,1369.3,31684.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"15 Trudering - Riem",3.3,1575,48403.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"16 Ramersdorf - Perlach",4.3,3251,75749.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"17 Obergiesing - Fasangarten",3.4,1362.5,39575.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"18 Untergiesing - Harlaching",3.2,1199.8,36932.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.1,1962.8,63344,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"20 Hadern",2.8,933.3,32849,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"21 Pasing - Obermenzing",3.1,1529.5,49493.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"22 Aubing - Lochhausen - Langwied",3.3,986.8,30277.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"23 Allach - Untermenzing",2.5,548,21709.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"24 Feldmoching - Hasenbergl",4.1,1684.3,40763.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2017,"25 Laim",3.4,1364.3,39596.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"Stadt München",3.5,37262.8,1075503.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"01 Altstadt - Lehel",2.1,329.3,15834.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"02 Ludwigsvorstadt - Isarvorstadt",3,1303.3,43060,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"03 Maxvorstadt",2.5,1060,42985,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"04 Schwabing - West",2.5,1248.5,49844.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"05 Au - Haidhausen",3,1370,45708.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"06 Sendling",3.9,1206.3,30575,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"07 Sendling - Westpark",3.9,1599.3,41032.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"08 Schwanthalerhöhe",3.8,875.8,22944.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"09 Neuhausen - Nymphenburg",2.8,1969.8,70593.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"10 Moosach",4.6,1680.5,36815.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"11 Milbertshofen - Am Hart",4.6,2503.5,54861,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"12 Schwabing - Freimann",2.9,1639,55757,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"13 Bogenhausen",2.7,1540.5,57873.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"14 Berg am Laim",4.5,1437.5,31654.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"15 Trudering - Riem",3.3,1580,47710.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"16 Ramersdorf - Perlach",4.4,3327.3,74858.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"17 Obergiesing - Fasangarten",3.6,1440.3,39760.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"18 Untergiesing - Harlaching",3.6,1334.8,37474.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.1,1965.3,62798.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"20 Hadern",3.2,1049,33202,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"21 Pasing - Obermenzing",3.3,1609.5,49128.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"22 Aubing - Lochhausen - Langwied",3.4,1010.8,29379,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"23 Allach - Untermenzing",2.9,614,21176.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"24 Feldmoching - Hasenbergl",4.5,1850,41216.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2016,"25 Laim",3.7,1450.5,39258.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"Stadt München",3.7,39247,1057168,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"01 Altstadt - Lehel",2.3,358.3,15539.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"02 Ludwigsvorstadt - Isarvorstadt",3.5,1469,42203.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"03 Maxvorstadt",2.7,1155.8,42531.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"04 Schwabing - West",2.8,1361,49135.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"05 Au - Haidhausen",2.9,1332.8,45482.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"06 Sendling",4.2,1277.3,30341.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"07 Sendling - Westpark",4.4,1756.8,40124.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"08 Schwanthalerhöhe",4.1,939,22894.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"09 Neuhausen - Nymphenburg",3.1,2193.5,70276,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"10 Moosach",4.8,1762,36795.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"11 Milbertshofen - Am Hart",5,2693.5,54184,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"12 Schwabing - Freimann",3.2,1702.3,53954,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"13 Bogenhausen",2.8,1577.8,56662,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"14 Berg am Laim",4.6,1419.8,31168,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"15 Trudering - Riem",3.2,1504.5,46325.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"16 Ramersdorf - Perlach",4.8,3556,73615,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"17 Obergiesing - Fasangarten",3.9,1516.8,39307.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"18 Untergiesing - Harlaching",3.8,1377,36510,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.4,2045.3,60903.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"20 Hadern",3.5,1138.3,32740.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"21 Pasing - Obermenzing",3.5,1683.8,48320.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"22 Aubing - Lochhausen - Langwied",3.7,1032,27873,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"23 Allach - Untermenzing",3.3,680.3,20853,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"24 Feldmoching - Hasenbergl",4.7,1904.8,40705.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2015,"25 Laim",3.8,1457.8,38721.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"Stadt München",3.9,40383.3,1037116.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"01 Altstadt - Lehel",2.5,374.8,15286.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"02 Ludwigsvorstadt - Isarvorstadt",3.7,1507,40696.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"03 Maxvorstadt",2.9,1215.5,41801.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"04 Schwabing - West",2.9,1415.3,48384.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"05 Au - Haidhausen",3.1,1410,44810,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"06 Sendling",4.4,1322.5,30078,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"07 Sendling - Westpark",4.4,1704.5,38879.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"08 Schwanthalerhöhe",4.5,1016,22684.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"09 Neuhausen - Nymphenburg",3.3,2297.5,69544.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"10 Moosach",5.1,1865.5,36246.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"11 Milbertshofen - Am Hart",5.2,2801.5,53540.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"12 Schwabing - Freimann",3.2,1663.8,52597.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"13 Bogenhausen",2.9,1601.8,55439.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"14 Berg am Laim",4.7,1448,30492.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"15 Trudering - Riem",3.4,1528.5,45167,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"16 Ramersdorf - Perlach",5.2,3746.3,72190.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"17 Obergiesing - Fasangarten",4.1,1568.5,37969.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"18 Untergiesing - Harlaching",3.9,1405.5,36038,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.5,2067,59370.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"20 Hadern",3.7,1186.5,32327.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"21 Pasing - Obermenzing",3.6,1685.8,47475.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"22 Aubing - Lochhausen - Langwied",3.9,1083.5,27552.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"23 Allach - Untermenzing",3.5,707.8,20459.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"24 Feldmoching - Hasenbergl",4.8,1929.3,39916.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2014,"25 Laim",4,1511,38165,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"Stadt München",3.9,39462,1018595.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"01 Altstadt - Lehel",2.4,353.8,15009.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"02 Ludwigsvorstadt - Isarvorstadt",3.6,1441.5,39922,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"03 Maxvorstadt",2.8,1140.5,41209.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"04 Schwabing - West",2.8,1329,47562.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"05 Au - Haidhausen",3.1,1365.5,44261,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"06 Sendling",4.2,1259.8,29655,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"07 Sendling - Westpark",4.2,1615,38240,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"08 Schwanthalerhöhe",4.9,1101.5,22442.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"09 Neuhausen - Nymphenburg",3.2,2230.3,68700.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"10 Moosach",5.2,1844.5,35299.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"11 Milbertshofen - Am Hart",5.3,2781.8,52504,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"12 Schwabing - Freimann",3.1,1579,50478.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"13 Bogenhausen",2.8,1506.5,54280.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"14 Berg am Laim",4.9,1471.8,29963.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"15 Trudering - Riem",3.4,1503.3,44422.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"16 Ramersdorf - Perlach",5.2,3712.8,71319.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"17 Obergiesing - Fasangarten",4.2,1574.8,37093.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"18 Untergiesing - Harlaching",3.9,1384.8,35665.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.5,2066.8,58649.8,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"20 Hadern",3.9,1222,31543.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"21 Pasing - Obermenzing",3.4,1561.8,46495.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"22 Aubing - Lochhausen - Langwied",3.9,1063,26970.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"23 Allach - Untermenzing",3.1,631.8,20135,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"24 Feldmoching - Hasenbergl",4.9,1898.3,39090.3,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2013,"25 Laim",4.1,1527.5,37680.5,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2012,"Stadt München",3.7,36671.5,1000170,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
"Arbeitslose - Anteil","insgesamt",2012,"01 Altstadt - Lehel",2.1,304.3,14755,"Arbeitslose (insgesamt)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (insgesamt)"
